Sample ID,recore?,depth_adj,weight,d15Nair,d13CVPDB,%N,%C,C:N,Comments
PH2 5,n,0.05,25.84,0.988149916,-26.58721573,0.3334348,5.9767432,17.9247733,
PH2 5,n,0.05,34.588,0.813133546,-26.61518713,0.3256226,5.8848931,18.07274157,
PH2 10,n,0.1,23.539,0.03306058,-27.24402571,0.5258541,7.6592613,14.56537336,
PH2 10,n,0.1,27.819,0.077064696,-27.39735044,0.5280524,7.2947429,13.81442997,
PH2 15,n,0.15,32.576,1.520199683,-25.32021477,0.1377244,1.6575137,12.03500396,
PH2 15,n,0.15,30.292,1.856231114,-25.23319263,0.1395673,1.6463796,11.79631332,
PH2 20,n,0.2,26.089,0.437098373,-27.0710174,0.3098807,9.0864315,29.32235373,
PH2 20,n,0.2,26.415,0.317087147,-27.02129047,0.301326,8.7538819,29.05120003,
PH2 25,n,0.25,29.558,2.375279665,-23.89056529,0.0669719,0.6331209,9.453530511,
PH2 25,n,0.25,36.893,2.381280226,-23.45856251,0.0660973,0.6241325,9.442632301,
PH2 30,y,NaN,27.15,1.444192573,-25.38962529,0.186101,2.3891332,12.83783107,
PH2 30,y,NaN,28.271,1.461194164,-25.34093433,0.1894288,2.4061154,12.70195134,
PH2 35,y,NaN,27.682,0.850137007,-26.10030612,0.2595619,3.7526226,14.45752478,
PH2 35,y,NaN,25.989,0.959147204,-26.10237808,0.2617235,3.8362941,14.65781292,
PH2 40,y,NaN,30.87,1.198169561,-25.215581,0.2296836,2.9978628,13.05214129,
PH2 40,y,NaN,27.836,1.114161703,-25.33886237,0.2303779,2.8421107,12.33673325,
PH2 50,n,0.3,30.428,2.005245053,-24.45102932,0.088853,0.9590412,10.7935714,
PH2 50,n,0.3,35.243,2.131256839,-24.4427415,0.0883237,0.9497368,10.75291003,
PH2 60,n,0.4,25.119,1.668213528,-26.17386055,0.2153598,3.6476049,16.93725988,
PH2 60,n,0.4,29.667,1.563203705,-26.25570281,0.2117142,3.5714787,16.86933942,
PH2 65,y,NaN,52.47,2.647305109,-24.09879684,0.0397783,0.2992291,7.522420516,
PH2 65,y,NaN,51.237,2.959334295,-24.08947304,0.0396237,0.3010589,7.597950217,
PH2 70,n,0.45,49.697,2.874326344,-23.81597488,0.0320395,0.2428653,7.580183836,
PH2 70,n,0.45,51.945,3.116348982,-23.86362986,0.0321624,0.2435569,7.572721563,
PH2 80,n,0.5,48.399,3.092346737,-24.63336143,0.0163057,0.1284421,7.877128857,small peaks
PH2 80,n,0.5,51.426,3.338369749,-24.81569354,0.0159564,0.1272155,7.972694342,small peaks
