depth,min,max,median,mean
2.54,66,629,245,270
7.62,167,1234,515,561
12.7,308,1686,805,855
22.86,691,2498,1425,1472
33.02,1105,3201,2017,2048
43.18,1542,3839,2596,2623
53.34,2073,4456,3171,3208
63.5,2576,5036,3747,3771
73.66,3097,5649,4328,4342
83.82,3727,6214,4955,4966
93.98,4305,6740,5568,5560
104.14,4941,7240,6184,6168
114.3,5669,7726,6816,6788
124.46,6429,8109,7419,7382
134.62,7213,8442,8028,7980
144.78,8429,8718,8556,8553
154.94,8623,9310,8932,8943
165.1,8891,9532,9335,9316
175.26,9068,9700,9479,9446
185.42,9228,9830,9607,9579
195.58,9377,9944,9728,9709
205.74,9562,10049,9852,9841
215.9,9742,10135,9980,9971
226.06,9946,10220,10125,10114
236.22,10142,10736,10372,10391
246.38,10360,11199,10666,10692
256.54,10640,11648,10944,10989
266.7,11107,12058,11217,11335
276.86,11497,13248,12159,12216
287.02,12264,14190,13243,13242
297.18,13362,14945,14212,14193
307.34,13793,15732,14743,14749
317.5,14181,16448,15233,15256
327.66,14584,17094,15726,15762
342.9,15176,18064,16481,16523
347.98,15367,18403,16742,16780
353.06,15618,18694,17006,17039
358.14,15802,18990,17262,17298
363.22,16012,19317,17515,17558
368.3,16261,19613,17772,17819
373.38,16464,19951,18040,18079
383.54,16892,20591,18546,18602
