Core Depth,Recore?,depth_adj,unit_desc,Sect Depth,mag_sus,nat_gam,ti/zr,XRF,XRF Live Time,Ti,Ti-Error,V,V-Error,Cr,Cr-Error,Mn,Mn-Error,Fe,Fe-Error,Co,Co-Error,Ni,Ni-Error,Cu,Cu-Error,Zn,Zn-Error,As,As-Error,Zr,Zr-Error,Mo,Mo-Error,Ag,Ag-Error,Cd,Cd-Error,Sn,Sn-Error,Sb,Sb-Error,W,W-Error,Pb,Pb-Error,Bi,Bi-Error,LE,LE-Error,Mg,Mg-Error,Al,Al-Error,Si,Si-Error,P,P-Error,S,S-Error,Cl,Cl-Error,K,K-Error,Ca,Ca-Error,age_extrapolated
0,N,0,O-rich,0,-0.5,31.2,,17901,27.75,136.96,37.15,0,52.03,0,31.29,0,3256.78,1710.34,28.28,0,34.68,0,18.19,0,10.1,0,8.48,0,10.17,14.14,0.81,0,38.98,0,212.57,0,247.59,0,328.36,0,408.43,0,43.84,2.82,0.89,0,40.9,942498.38,1101.08,0,12770.35,1890.07,329.38,9620.79,195.03,0,186,0,206.38,41504.37,1045.61,1661.32,31.05,960.8,17.77,9560
0.02,N,0.02,O-rich,2,-0.8,32.8,,15108,27.95,0,1575.96,0,66.02,0,38.19,0,3574.44,1994.59,35.06,0,41.7,0,21.21,0,13.73,0,9.88,0,11.47,17.92,0.96,0,46.56,0,252.84,0,296.57,0,396.31,0,493.98,0,53.76,5.16,1.13,0,48.84,940406.33,1372.63,0,15312.19,1847.08,392.75,3865.87,159.27,0,212.98,0,232.33,49873.35,1318.19,1055.41,35.98,934.29,21.19,9712
0.04,N,0.04,O-rich,4,-1.3,32.1,,27857,27.04,0,1038.95,0,38.18,0,25.69,0,2473.9,2237.69,25.84,0,30.24,0,13.31,0,8.1,0,5.35,0,6.7,0,17.88,0,30.65,0,169.09,0,196.23,0,257.83,0,319.21,0,34.25,0,24.89,0,30.8,943115.31,2420.56,7792.03,2441.83,1335.91,206.62,3041.49,91.42,0,122.71,170.05,12.77,40127.57,660.27,1117.94,19.12,1062.01,13,9863.5
0.06,N,0.06,B/G Mineral above buried soil,6,-3,33,15.5023446,19821,27.18,1289.33,66.73,124.29,32,0,49.53,87.27,13.07,10074.54,91.85,86.02,16.86,0,23.34,0,13.44,25.64,1.97,0,11.72,83.17,1.46,0,43.97,0,243.38,74.26,5.35,73.77,6.58,121.59,8.44,0,60.1,3.98,1.13,0,51.33,903086.57,4030.3,11301.03,4214.52,1233.59,364.99,5333.6,159.67,0,134.17,0,146.12,60035.76,1160.74,5390.31,56.44,1575.28,25,10015
0.08,N,0.08,B/G Mineral above buried soil,8,-1.9,32.2,17.78266033,21966,26.95,1647.03,70.39,117.26,32.04,49.3,14.91,88.94,12.84,10987.12,83.14,0,88.01,12.94,4.05,0,13.32,28.53,2,0,12.65,92.62,1.44,0,41.22,0,234.78,101.78,5.33,111.07,6.65,163,8.5,0,57.12,8.32,1.24,0,49.27,903691.1,1248.92,0,9175.85,4722.17,436.58,25713.35,311.09,0,140.78,243.21,21.72,43347.99,1158.35,7363.98,58,1510.27,24.09,10166.5
0.1,N,0.1,B/G Mineral above buried soil,10,-0.2,34.7,14.84954542,20856,26.89,2172.34,85.19,298.95,41.02,61.4,17.64,144.92,16.17,15970.95,116.69,0,114.14,21.6,4.97,13.62,2.66,52.33,2.84,0,13.4,146.29,1.96,0,45.48,0,258.6,149.04,6.13,157.83,7.7,243.9,9.92,0,68.91,5.37,1.35,0,56,878940.4,1545.85,0,9966.81,7017.71,545.58,49677.8,477.25,0,155.94,205.55,26.17,32132.2,1448.75,10863.56,80.64,1724.23,29.87,10318
0.12,N,0.12,B/G Mineral above buried soil,12,0.1,34,14.82833953,22341,26.75,2192.37,82.32,181.34,36.83,83.41,17.24,124.79,15.09,16113.72,112.9,0,110.78,28.22,4.93,14,2.58,40.07,2.48,0,13.2,147.85,1.9,0,43.68,111.82,5.25,142.16,5.89,169.76,7.49,249.81,9.61,0,68.07,5.25,1.29,11.61,1.55,878749.41,1458.14,0,9137.29,7877,527.44,48004.79,449.25,0,145.69,279.76,24.78,33132.36,1356.28,10624.65,76.07,1715.84,28.43,10469.5
0.14,N,0.14,B/G Mineral above buried soil,14,0.1,33.7,14.14685797,21335,26.86,2257.98,85.46,301.97,40.59,71.07,17.68,139.9,15.87,17205.75,139.32,136.79,22.68,20.41,5.01,20.44,2.83,46.29,2.68,0,14.17,159.61,2.12,0,45.37,106.15,5.35,150.91,6.06,164.99,7.62,266.63,9.92,0,68.39,9.41,1.46,14.03,1.66,870677.81,3804.61,8708.55,4019.11,5733.15,487.1,35534.1,411.11,0,141.9,328.39,24.77,46871.99,1329.34,9286.91,80.99,1786.79,29.49,10621
0.16,N,0.16,B/G Mineral above buried soil,16,2.2,33.9,15.09776083,15965,27.5,1860.95,86.6,198.57,40.41,59.62,18.37,113.49,16.28,15277.64,143.93,0,125.49,23.53,5.39,17.7,2.95,38.12,2.68,0,15.84,123.26,2.04,0,50.07,0,280.55,74.4,6.2,67.18,7.55,110.44,9.64,0,73.89,9.17,1.54,13.69,1.78,880803.29,4668,11154.61,4954.07,3054.91,468.09,17020.54,305.32,0,160.93,387.64,28.38,61840.78,1472.71,5973.87,70.55,1776.6,31.45,10772.5
0.18,N,0.18,B/G Mineral above buried soil,18,6.7,33.8,13.95795763,19617,26.91,2569.66,98,322.8,45.88,0,64.47,150.17,17.82,20224.24,149.51,0,141.93,25.35,5.83,20.92,3.21,60.63,3.3,0,15.6,184.1,2.4,0,49.87,126.55,6.01,188.16,6.84,198.47,8.63,292.77,11.1,0,72.55,8.26,1.61,16.26,1.91,867389.32,1640.82,0,9192.9,5902.75,562.75,38966.61,441.22,0,151.65,314.73,28.63,48411.67,1531.48,12421.7,95.64,2204.87,35.37,10924
0.2,N,0.2,B/G Mineral above buried soil,20,9.4,34.5,14.44026434,20743,26.72,2775.13,99.29,287.13,44.81,83.95,19.69,190.25,18.94,21844.61,155.47,152.7,27.4,21.01,5.77,26.73,3.36,61.03,3.3,0,16.14,192.18,2.43,0,48.96,140.27,6.01,195.08,6.81,206.23,8.6,301.55,11.05,0,75.35,11.34,1.7,15.56,1.89,859251.85,1650.48,0,9027.81,6893.48,571.72,48796.8,490.37,0,144.69,252.44,27.91,43023.53,1539.66,13183.64,97.6,2093.51,34.7,11075.5
0.22,N,0.22,O-rich,22,9.9,33.9,12.84503088,20253,27.17,915.08,57.84,117.54,29.66,44.04,14.64,66.36,12.01,9196.47,74.63,0,81.48,0,21.04,0,12.93,19.34,1.73,0,12.27,71.24,1.3,0,42.37,0,235.08,39.14,5.08,54.63,6.28,86.93,8,0,55.77,6.07,1.15,0,50.62,909078.24,1192.88,0,9019.46,3120.8,384.44,16428.57,248.86,0,142.57,252.91,21.31,53821.24,1117.37,5148.26,49.04,1533.14,23.42,11227
0.24,N,0.24,Maroon mineral below buried soil,24,10.3,35.4,13.90355278,19863,26.84,2715.92,101.55,307.64,46.2,83.29,20.2,169.61,18.8,21593.78,188.38,169.85,27.96,18.62,5.91,17.27,3.15,53.33,3.2,0,16.79,195.34,2.67,0,50.56,133.7,6.18,174.02,6.96,210.43,8.91,301.72,11.42,0,76.76,11.76,1.76,18.19,2,851493.71,4461.05,9657.1,4754.84,9110.01,632.59,56084.29,611.11,0,164.28,312.66,30.88,31746.73,1703.05,13388.1,119.65,2032.93,37.02,11930
0.26,N,0.26,Maroon mineral below buried soil,26,9.1,34.1,13.88453757,20106,26.82,2882.43,102.96,237.37,44.89,84.35,19.95,177.77,19.01,21798.65,159.46,159.95,27.98,25.86,6.09,0,18.01,60.17,3.35,0,16.27,207.6,2.6,0,50.76,137.04,6.2,187.62,7.02,212.9,8.95,319.83,11.55,0,75.66,10.35,1.73,19.13,2.03,865629.45,1776.66,0,10125.74,8538.42,632.15,55092.57,546.21,0,161.2,311.64,30.85,27794.78,1683.1,13994.67,104.14,2117.45,36,12634
0.48,N,0.28,Maroon mineral below buried soil,48,5.7,34.7,13.28506823,11526,27.93,1703.81,109.56,214.95,53.4,0,77.83,87.23,19.95,13013.03,145.02,157.01,28.92,0,41.67,0,25.25,35.94,3.39,0,19.37,128.25,2.58,0,68.7,0,375.98,121.64,8.37,163.76,10.71,233.17,13.63,0,102.99,0,66.08,0,85.81,884613.91,2351.08,0,15376.17,2972.94,681.84,17118.27,388.04,0,228.52,0,249.17,70054.54,2272.72,7197.08,99.48,2184.46,46.52,13338
0.5,N,0.3,Maroon mineral below buried soil,50,7.3,34.9,15.51081589,16712,27.48,1319.35,73.55,120.43,35.02,0,52.97,93.21,14.45,10136.59,102.82,0,97.72,14.26,4.59,0,14.67,24.33,2.1,0,12.42,85.06,1.63,0,47.64,0,271.61,83.42,5.97,97.4,7.45,144.25,9.51,0,61.5,0,43.91,0,56.94,901878.89,4707.46,10303.62,4927.43,1609.69,424.44,9684.8,227.99,0,164.78,0,181.44,57187.32,1378.12,5678.62,65.9,1538.78,28.2,14042
0.52,N,0.32,Maroon mineral below buried soil,52,10.1,34.4,15.2062704,18585,27.19,2235.93,90.59,204.67,41.09,76.22,18.71,121.71,16.38,15798.04,122.59,0,123.5,0,27.92,17.46,2.91,41.03,2.73,0,15.8,147.04,2.07,0,48.97,0,275.28,129.79,6.34,145.89,7.98,215.98,10.21,0,75.88,8.8,1.53,13.52,1.75,889802.9,1496.01,0,9531.07,2886.59,477.61,25356.7,346.06,0,149.32,0,164.14,51512.45,1404.93,9416.42,78.43,1868.87,31.07,14746
0.54,N,0.34,O/B sandy,54,14,35.8,14.28773184,20591,26.69,2519.07,95.15,335.03,44.65,92.22,20.11,170.29,18.7,27286.13,186.75,207.82,30.75,0,31.76,18.83,3.17,56,3.27,0,16.09,176.31,2.39,0,49.34,118.79,6.03,173.13,6.83,192.25,8.64,294.41,11.15,0,77.68,12.51,1.78,13.33,1.89,867699.79,1473.1,0,7726.58,2712.97,467.24,18169,289.33,0,125.24,180.7,24.62,66712.97,1357.74,10900.46,87.41,1957.98,32.41,15450
0.56,N,0.36,O/B sandy,56,16.4,35.2,13.87369002,21322,26.54,2515.3,94.15,279.27,42.58,61.73,18.89,187.64,19.18,32680.19,216.61,245.72,33.37,0,32.55,0,17.77,56.65,3.33,0,17.06,181.3,2.47,0,48.66,125.39,6.2,184.67,7.03,201.32,8.89,291.71,11.37,0,71.92,9.09,1.74,0,63.99,867243.23,1484.49,0,8070.94,3027.46,472.44,18374.44,293.48,97.81,31.06,0,141.84,62209.8,1363.92,10155.86,83.91,1871.43,31.55,16154
0.58,N,0.38,O/B sandy,58,15.5,36.5,14.44540281,21055,26.53,3249.06,107.27,256.72,45.93,89.33,20.27,172.86,19.17,27838.62,192.11,185.83,31.42,0,31.89,18.22,3.28,52.27,3.26,0,16.44,224.92,2.76,0,49.88,140.25,6.29,186.54,7.09,212.31,9.02,308.02,11.55,0,81.65,10.68,1.79,17.69,2.05,855369.85,1678.14,0,8556.43,5520.81,562.18,47328.83,491.19,0,139.24,0,150.64,43023.36,1561.63,13848.38,103.78,1945.44,34.92,16858
0.6,N,0.4,O/B sandy,60,12.8,35.6,13.91155838,20218,26.75,3331.54,110.77,219.37,45.99,99.11,20.65,196.21,19.98,25750.22,218.1,0,164.26,0,31.61,21.09,3.38,40.51,2.96,0,17.21,239.48,3.06,0,51.17,161.6,6.41,183.31,7.12,208.55,9.05,317.9,11.71,0,79.9,14.9,1.9,13.94,1.96,856536.75,4318,9932.93,4620.09,4018.92,538.59,32713.34,433.23,113.31,35.01,0,144.83,50740.9,1538.21,12963.69,116.72,2182.45,37.05,17562
0.72,N,0.42,O/B sandy,72,14,34.7,11.09356049,19136,26.99,2780.49,101.94,265.66,45.58,110.7,20.97,182.22,19.3,21109.12,156.35,140.29,27.67,0,30.51,0,18.43,37.72,2.82,0,16.07,250.64,2.86,0,52.5,137.87,6.1,183.77,6.88,201.07,8.72,311.36,11.3,0,81.73,7.49,1.62,17.19,1.96,869076.85,1536.37,0,8275.02,3455.97,476.8,23758.93,335.76,0,135.84,0,145.95,67003.35,1428.52,9118.95,80.19,1850.36,32.28,18266
0.74,N,0.44,O/B sandy,74,16.9,33.8,12.7815732,13580,27.72,3101.96,133.24,299.66,59.22,81.73,24.97,144.64,21.93,15020.8,181.69,0,145.87,0,37.32,0,20.22,27.25,2.94,0,17.68,242.69,3.72,0,65.49,171.07,7.54,214.36,8.51,231.36,10.78,356.55,14.09,0,88.17,5.61,1.83,0,76.71,849696.69,6285.93,15548.62,6806.58,4377.23,665.23,42518.26,634.78,0,197.05,0,217.3,56264.81,2205.31,9689.81,124.55,2006.93,45.61,18970
0.76,N,0.46,O/B sandy,76,19.3,35.9,13.54143165,14425,27.65,3265.11,130.8,252.08,56.83,136.04,26.17,165.62,22.37,15011.2,146.03,0,141.44,24.56,6.89,0,21.96,30.39,3,0,17.49,241.12,3.25,0,62.81,165.32,7.32,225.68,8.33,242.97,10.62,389.49,13.96,0,89.11,8.31,1.9,0,73.76,865094.55,2271.24,0,13735.47,6322.41,703.47,57493.95,657.4,0,214.9,0,226.74,37966.99,2214.01,10955.78,109.18,2008.44,42.89,19674
0.78,N,0.48,O/B sandy,78,19.4,35.7,12.33128319,19537,27.11,3227.96,108.26,159.26,44.45,0,58.38,117.74,16.34,13517.18,126.03,0,109.97,18.6,5.07,0,16.91,24.54,2.28,0,13.28,261.77,3.01,0,51.05,167.05,6.05,215.23,6.85,228.87,8.7,344.06,11.32,0,70.44,0,47.02,0,60.73,859742.75,4134.13,9337.9,4363.63,5570.68,533.34,54974.62,577.69,115.86,36.31,0,154.86,40662.07,1577.36,9574.01,90.61,1739.85,32.9,20378
0.8,N,0.5,O/B sandy,80,15.8,34.3,12.74932704,19545,27.1,3457.49,109.6,294.93,47.92,59.45,18.94,84.06,15.28,14480.24,115.96,0,112.03,26.9,5.22,0,16.86,20.69,2.16,0,13.66,271.19,2.83,0,51,153.14,5.96,196.52,6.72,228.29,8.64,352.05,11.24,0,70.79,0,47.05,0,60.37,862655.06,1675.46,0,8819.96,6566.71,544.62,62151.34,557.87,110.19,36.29,0,153.88,36774.93,1582.58,10351.97,83.55,1764.88,32.4,21082
