fine_strat,coarse_strat
brown clay,"fine, inorg"
fibrous peat,peat
copropelic clay,"fine, org"
gray and brown silty clay,"fine, inorg"
red clay,"fine, inorg"
banded silt,"fine, inorg"
peaty clay,"fine, org"
peaty sandy clay,coarse
peat,peat
gray clay,"fine, inorg"
organic clay,"fine, org"
peaty silt,"fine, org"
clay,"fine, inorg"
silty clay,"fine, inorg"
organic clay with stones,coarse
peat with silt,"fine, org"
silt with black bands,"fine, inorg"
sandy silt,coarse
dark-brown copropel,"fine, org"
silt with stones,coarse
sandy red colluvial clay,coarse
gray silt,"fine, inorg"
organic silt,"fine, org"
